Description,Question,Equation,Input Numbers,Output
cindy and dan have the same number of stickers . cindy used number0 of her stickers . dan bought number1 more stickers .,how many more stickers did dan have than cindy then ?,+ number0 number1,15 18,33.0
ed had number0 more marbles than doug . doug lost number1 of his marbles at the playground .,how many more marble did ed have than doug then ?,+ number0 number1,22 8,30.0
a worm has fallen into a hole that is number0 inches deep . it climbs up number1 inches and slides back number2 inches every day .,how many days will it take the worm to reach the top ?,/ number0 - number1 number2,26 8 3,5.2
my ice cream shop was really busy today . it was number0 degrees and we sold number1 ice cream cones . we sold number2 more milkshakes than ice cream cones .,how many milkshakes were sold ?,+ number1 number2,98 67 15,82.0
todd had number0 cents in his pocket . he bought a candy bar for number1 cents . he bought a box of cookies for number2 cents .,how much money did todd spend altogether ?,+ number1 number2,85 14 39,53.0
the little league stadium has number0 seats . number1 people came to the game today . number2 people were holding banners .,how many seats were empty ?,- number0 number1,92 47 38,45.0
the music room has number0 violins . there are also number1 flutes . number2 students are in the school band .,how many instruments are in the music room ?,+ number0 number1,27 15 18,42.0
maura collects seashells every summer . her family stays at the beach house for number0 days . this summer maura found number1 seashells . she gave some to her little sister . maura then had number2 seashells .,how many seashells did maura give to her sister ?,- number1 number2,21 75 57,18.0
the tallest giraffe at the zoo is number0 inches tall . there are number1 adult giraffes at the zoo . the shortest giraffe is number2 inches .,how much taller is the bigger giraffe ?,- number0 number2,96 14 68,28.0
the central city zoo has number0 chimpanzees . every day the chimps eat a total of number1 bananas . next week the zoo is moving number2 chimps to a new cage .,how many chimps will stay in the old cage ?,- number0 number2,45 72 18,27.0
the zookeeper has number0 fish to feed to the penguins . number1 penguins have already gotten a fish . the zoo has number2 penguins .,how many more penguins need to get a fish ?,- number2 number1,68 19 36,17.0
ralph has a photo album with number0 pages . he has number1 pictures of wild animals . ralph 's friend derrick has number2 pictures of wild animals .,how many fewer pictures of wild animals does ralph have ?,- number2 number1,50 26 34,8.0
lisa invited the entire third grade to her party . there are number0 students altogether . number1 of the students are boys and number2 are girls . number3 students will not be able to go to the party .,how many students will be there ?,- number0 number3,48 23 25 9,39.0
molly swam number0 meters on saturday . she swam number1 meters on sunday . the pool is number2 meters long .,how many meters did molly swim in all ?,+ number0 number1,45 28 25,73.0
billy can play number0 songs in his music book . he knows the names of number1 different guitar chords . billy 's music book has number2 songs in it .,how many songs does billy still need to learn ?,- number2 number0,24 18 52,28.0
mom made number0 chocolate chip cookies . it took number1 minutes to mix the ingredients and number2 minutes to bake . julie and matt ate number3 cookies after dinner .,how many cookies were left ?,- number0 number3,32 24 16 9,23.0
there are number0 questions on the math test . number1 questions are word problems . number2 questions are addition and subtraction problems . steve can only answer number3 questions .,how many questions did steve leave blank ?,- number0 number3,45 17 28 38,7.0
kendra learns number0 new spelling words each week . her goal is to learn number1 new words before her number2 birthday . she has already learned number3 new words .,how many more words does kendra need to learn ?,- number1 number3,12 60 8 36,24.0
jake read number0 pages of his new book . it has number1 chapters and number2 pages . jake read number3 more pages later that day .,how many pages has he read in all ?,+ number0 number3,37 8 95 25,62.0
adam has number0 marbles in his collection . mary has number1 fewer marbles than adam . greg has number2 more marbles than adam .,how many marbles does greg have ?,+ number0 number2,29 11 14,43.0
tripp and charlotte are going on a number0 mile hike . tripp 's backpack weighs number1 pounds . charlotte 's back pack weighs number2 pounds less . they hiked number3 miles the first day .,how many miles do they have left ?,- number0 number3,36 25 7 9,27.0
the sweet shop gets a new candy shipment every number0 days . there are number1 cases of chocolate bars . there are number2 cases of lollipops .,how many cases of candy altogether ?,+ number1 number2,35 25 55,80.0
dora is having her number0 birthday party next saurday . she invited number1 people . her mom ordered number2 sandwiches . number3 people can not come to the party .,how many people will be at dora 's party ?,- number1 number3,10 64 36 16,48.0
there are number0 pretzels in a bowl . john ate number1 pretzels . alan ate number2 fewer pretzels than john . marcus ate number3 more pretzels than john .,how many pretzels did marcus eat ?,+ number1 number3,95 28 9 12,40.0
mrs. randall has taught third grade for number0 years . she has number1 students this year . she also taught second grade for number2 years .,how many years has mrs. randall been teaching ?,+ number0 number2,18 26 8,26.0
there were number0 passengers on the bus . number1 passengers got off at the first stop . number2 passengers got off at the second stop .,how many passengers were left on the bus ?,- - number0 number1 number2,46 19 15,12.0
alexa is reading a nancy drew mystery . there are number0 pages in her book . she read number1 pages the first day . the next day alexa just could n't stop reading . she read number2 pages .,how many pages does alexa have left to read ?,- - number0 number1 number2,95 18 58,19.0
sam put number0 pretzels in a bowl for the party . his friends ate number1 of them . sam put in number2 more pretzels .,how many pretzels were in the bowl then ?,+ - number0 number1 number2,86 49 27,64.0
tommy has $ number0 . he wants to buy a $ number1 camera . he also wants to buy a $ number2 cd player .,how much more money does tommy need ?,- + number1 number2 number0,79 35 59,15.0
omar loves to play checkers . he played number0 games yesterday . he played number1 games today . omar lost number2 games .,how many games did he win ?,- + number0 number1 number2,37 49 18,68.0
number0 students signed up for computer classes . there were number1 second graders and number2 third graders . the rest of the students were number3 graders .,how many number4 graders took computer classes ?,- - number0 number1 number2,94 24 29 4 4,41.0
j.t . has some superhero trading cards . he lost number0 of them . he gave number1 of them to his best friend . now he has number2 cards left .,how many cards did j.t . have at first ?,+ + number2 number0 number1,14 19 45,78.0
evan has a large collection of books . he gave his best friend number0 books . he gave his little brother number1 books . now evan has number2 books in his collection .,how many books did he have at first ?,+ + number2 number0 number1,14 8 60,82.0
it is number0 miles to grandma 's house . mr. welch drove number1 miles . he stopped to buy a pie for dessert . then he drove number2 miles and stopped to put gas in the car .,how many more miles until he reaches grandma 's house ?,- - number0 number1 number2,78 35 18,25.0
sean is playing monopoly with his friends . he already has number0 houses . sean traded in number1 houses for money to buy park place . he collected so much rent that he decided to buy number2 more houses .,how many houses did sean have then ?,+ - number0 number1 number2,27 8 12,31.0
lou 's shoes must sell number0 pairs of shoes each month . they sold number1 pairs last week and number2 pairs this week .,how many more pairs of shoes must they sell ?,- - number0 number1 number2,80 27 12,41.0
diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents .,how much more money does she need ?,- number0 number1,65 27,38.0
andy had number0 baseball cards . his dad gave him some more . then andy had number1 baseball cards .,how many baseball cards did andy get from his dad ?,- number1 number0,31 50,19.0
zachary did number0 push-ups in gym class today . david did number1 more push-ups than zachary .,how many push-ups did david do ?,+ number0 number1,47 15,62.0
christine has number0 stickers on her good helper chart . she needs number1 stickers to get a prize .,how many more stickers does christine need ?,- number1 number0,11 30,19.0
rachel baked some brownies . she brought number0 brownies to school that day . she left number1 brownies at home .,how many brownies did rachel bake ?,+ number0 number1,16 24,40.0
the sum of number0 numbers is number1 number2 of the numbers is number3 what,is the other number ?,- number1 number3,2 62 1 27,35.0
kim sold number0 boxes of girl scout cookies . jennifer sold number1 more boxes than kim .,how many boxes of cookies did jennifer sell ?,+ number0 number1,54 17,71.0
belle collected number0 animal stickers . carolyn collected number1 fewer stickers than belle .,how many stickers did carolyn collect ?,- number0 number1,97 18,79.0
peter had number0 marbles in his pocket . he lost some when he went outside to play . now he only has number1 marbles .,how many marbles did peter lose ?,- number0 number1,33 18,15.0
vincent has learned the words to number0 songs . he learned number1 more songs at summer camp .,how many songs does vincent know now ?,+ number0 number1,56 18,74.0
laurie has number0 more marbles than kurt . kurt has number1 marbles less than dennis . dennis has number2 marbles .,how many marbles does laurie have ?,+ - number2 number1 number0,12 45 70,37.0
kate maggie and sue added up their ages . the total was number0 kate is number1 and maggie is number2 how,old is sue ?,- - number0 number1 number2,48 19 17,12.0
anthony gets number0 cents every day for lunch . he bought a juice box for number1 cents . he also bought a cupcake . anthony had number2 cents left .,how much did the cupcake cost ?,- - number0 number1 number2,75 27 8,40.0
december is a busy month for the toy store . they had number0 games on the shelf . number1 games were sold the first week . the store got number2 more games from the factory .,how many games did they have then ?,+ - number0 number1 number2,95 68 47,74.0
the third graders are having a fair . they have number0 tickets to sell . they sold number1 tickets the first week and number2 tickets the second week .,how many tickets do they have left to sell ?,- - number0 number2 number1,90 38 17,35.0
kevin collected toys to use as prizes at the fair . he collected number0 stuffed animals . he also collected number1 frisbees and several yo-yos . kevin has number2 prizes in all .,how many yo-yos did kevin collect ?,- - number2 number1 number0,14 18 50,18.0
jasper is in charge of the refreshments . he sold number0 bags of chips . he sold number1 fewer hot dogs than chips . he sold number2 more drinks than hot dogs .,how many drinks did jasper sell ?,+ - number0 number1 number2,27 8 12,31.0
the ice rink has number0 pairs of skates to rent . number1 people rented skates when the ice rink opened . number2 more people rented skates during the first hour .,how many pairs of skates are left ?,- - number0 number1 number2,85 18 25,42.0
jake set up a candy stand in his front yard . he has number0 pieces of candy to sell . he sold number1 pieces of candy on monday . he sold much more than that on tuesday . by wednesday jakes only had number2 pieces left .,how many pieces of candy did jake sell on tuesday ?,- - number0 number1 number2,80 15 7,58.0
the ski resort reported number0 inches of snow in january . they measured number1 inches of snow during the first week . they measured number2 inches of snow the second week .,how much snow did they get the rest of the month ?,- - number0 number1 number2,65 18 25,22.0
corey earns extra money finding lost golf balls . his goal is to find number0 golfballs every weekend . he found number1 golf balls on saturday . he found number2 more golf balls on sunday .,how many more golf balls does corey need to find to reach his goal ?,- - number0 number1 number2,48 16 18,14.0
carey and pat are moving chairs to the gym . they agreed to move number0 chairs . carey moved number1 chairs . pat has moved number2 chairs .,how many more chairs do they have left to move ?,- - number0 number1 number2,74 28 29,17.0
jean had a bag of candy . she gave number0 pieces to her friend . jean ate number1 pieces . now she has number2 pieces left .,how many pieces of candy did jean have at first ?,+ + number2 number1 number0,18 7 16,41.0
charlene made number0 bead necklaces . she sold number1 at a craft fair . she gave number2 to her friends .,how many necklaces did charlene have then ?,- - number0 number1 number2,60 16 18,26.0
the coach bought number0 extra large pizzas for the team . there were number1 slices of pizza totally . after the team ate some of the slices there were number2 slices left .,how many slices of pizza did the team eat ?,- number1 number2,2 32 7,25.0
ramon works at the supermarket . he put number0 boxes of choco delights on the shelf . there were already number1 boxes there . later that day ramon counted number2 boxes on the shelf .,how many boxes of choco delights were missing ?,+ - number0 number2 number1,26 15 22,19.0
amy has number0 balloons . number1 of them are red and number2 are green . the rest of the balloons are blue .,how many blue balloons does amy have ?,- - number0 number1 number2,67 29 17,21.0
number0 children and number1 adults went to the track meet . the stadium has number2 seats .,how many seats were empty ?,- - number2 number0 number1,52 29 95,14.0
mr. lee gave out first place ribbons after each event . he had number0 ribbons at the start . he gave away number1 ribbons in the morning . he gave out number2 ribbons in the afternoon .,how many ribbons did mr. lee have left ?,- - number0 number1 number2,38 14 16,8.0
alvin had number0 marbles and played number1 games . he lost number2 marbles during the first game . he won number3 marbles during the second game .,how many marbles did alvin have then ?,+ - number0 number2 number3,57 2 18 25,64.0
cheryl and lori started a lemonade stand on friday . they bought number0 plastic cups . they sold a lot of lemonade and only had number1 cups left .,how many cups did cheryl and lori use ?,- number0 number1,85 18,67.0
cheryl counted number0 lemons . lori bought number1 more lemons .,how many lemons do the girls have altogether ?,+ number0 number1,16 28,44.0
coach mike bought several cups of lemonade . the girls told him it would cost number0 cents . the coach gave the girls number1 cents .,how much change did coach mike get back ?,- number1 number0,58 75,17.0
liz and jenn had a book sale . they sold number0 detective books and number1 puzzle books .,how many books did they sell altogether ?,+ number0 number1,27 15,42.0
scott and sam decided to sell their old comic books . they had number0 comic books altogether . after the sale they only had number1 comic books .,how many comic books did scott and sam sell ?,- number0 number1,90 25,65.0
connie saved up $ number0 . she wants to buy a watch that costs $ number1 .,how much more money does connie need ?,- number1 number0,39 55,16.0
terry and grace are building a gear machine . terry used number0 building pieces . grace used number1 pieces .,how many building pieces did they use altogether ?,+ number0 number1,37 45,82.0
the smart mart sells educational toys . they sold number0 science kits last week . the sold number1 fewer puzzles than science kits .,how many puzzles did the smart mart sell ?,- number0 number1,45 9,36.0
richard and bruno played miniature golf . richard 's score was number0 bruno 's score was number1 points lower than richard 's score .,what was bruno 's score ?,- number0 number1,62 14,48.0
number0 people visited the statue of liberty in the morning . number1 more people visited in the afternoon than in the morning .,how many people visited the statue of liberty in the afternoon ?,+ number0 number1,35 56,91.0
the giant ferris wheel can seat number0 people . there are number1 people waiting in line .,how many people wo n't get on the ride this time ?,- number1 number0,56 92,36.0
erin and dana finished a number0 day bike-a-thon . they rode number1 miles the first day the rode number2 miles the second day .,how many miles did they ride altogether ?,+ number1 number2,2 37 55,92.0
greg wants to buy a $ number0 scooter . he has saved $ number1 so far .,how much more money does greg need ?,- number0 number1,90 57,33.0
chris has number0 soccer cards . his friend charlie has number1 cards .,how many fewer cards does chris have ?,- number1 number0,18 32,14.0
number0 campers went rowing in the morning . number1 campers went rowing in the afternoon .,how many campers went rowing in all ?,+ number0 number1,35 27,62.0
mrs. griffin went to the grocery store with $ number0 . she had $ number1 left after shopping .,how much did mrs. griffin spend ?,- number0 number1,70 16,54.0
the library has number0 science books . the second graders borrowed number1 of them .,how many science books are left ?,- number0 number1,75 18,57.0
the wildcats scored number0 points in the first half of the game . the panthers scored number1 points .,how many more points did the wildcats score ?,- number0 number1,36 17,19.0
alexa and katerina stood on a scale together . the scale read number0 pounds . alexa knows she weighs number1 pounds .,how much does katerina weigh ?,- number0 number1,95 46,49.0
frannie and meg are in a jump rope contest . frannie jumped number0 times without missing . she jumped number1 fewer times than meg .,how many times did meg jump ?,+ number0 number1,53 18,71.0
the difference between number0 numbers is number1 the smaller number is number2 what,is the larger number ?,+ number2 number1,2 24 46,70.0
if you add number0 to a mystery number you will get number1 what,is the mystery number ?,- number1 number0,45 92,47.0
sam and erica have $ number0 together . sam has $ number1 .,how does erica have ?,- number0 number1,91 38,53.0
wendy bought number0 inches of ribbon . she used number1 inches to wrap presents .,how much ribbon did wendy have left ?,- number0 number1,84 46,38.0
the grasshopper and the frog had a jumping contest . the grasshopper jumped number0 inches . the frog jumped number1 inches farther than the grasshopper .,how far did the frog jump ?,+ number0 number1,25 15,40.0
marco and his dad went strawberry picking . together their strawberries weighed number0 pounds . marco 's strawberries weighed number1 pounds .,how much did his dad 's strawberries weigh ?,- number0 number1,23 14,9.0
miki bought number0 packs of red bouncy balls and number1 packs of yellow bouncy balls . each package contained number2 bouncy balls .,how many more packs of red bouncy balls than yellow bouncy balls did miki buy ?,- number0 number1,4 3 7,1.0
willy has number0 crayons . lucy has number1 crayons .,how many more crayons does willy have than lucy ?,- number0 number1,5092 3971,1121.0
a worker at a medical lab is studying blood samples . the first sample contained number0 blood cells . the second number1 contained number2 more than the first .,about how many blood cells were in the second sample ?,+ number0 number2,1410 1 6908,8318.0
during summer break number0 kids from lawrence county go to camp and the other number1 kids stay home .,about how many kids are in lawrence county ?,+ number0 number1,564237 495718,1059955.0
recently the postal service sold stamps with famous people pictured on them . they sold number0 color stamps as well as number1 black-and-white number2 .,about how many stamps did they sell ?,+ number0 number1,578833 523776 1,1102609.0
audrey has number0 peaches . paul has number1 peaches .,what 's the difference of the number of audrey 's peaches and paul 's peaches ?,- number1 number0,26 48,22.0
sharon has number0 plums . allan has number1 plums .,what 's the difference of the number of sharon 's plums and allan 's plums ?,- number1 number0,7 10,3.0
you have number0 balloons and your friend has number1 balloons .,what 's the difference of the number of your balloons and your friend 's balloons ?,- number0 number1,7 5,2.0
there are number0 birds and number1 nests .,what 's the difference of the number of birds and nests over there ?,- number0 number1,6 3,3.0
there are number0 flowers and number1 bees .,what 's the difference of the number of flowers and bees over there ?,- number0 number1,5 3,2.0
there are number0 squirrels in a tree with number1 nuts .,what 's the difference of the number of squirrels and nuts over there ?,- number0 number1,4 2,2.0
alyssa had number0 cookies . aiyanna has number1 what,'s the difference of the number of alyssa 's cookies and aiyanna 's cookies ?,- number1 number0,129 140,11.0
mrs. sheridan has number0 cats . mrs. garrett has number1 cats .,what 's the difference of the number of mrs. sheridan 's cats and mrs. garrett 's cats ?,- number1 number0,11 24,13.0
mrs. santiago has number0 red roses . mrs. garrett has number1 what,'s the difference of the number of mrs. santiago 's red roses and mrs. garrett 's red roses ?,- number0 number1,58 24,34.0
bobby has number0 books . kristi has number1 books .,what 's the difference of the number of bobby 's books and kristi 's books ?,- number0 number1,142 78,64.0
diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents .,what 's the difference between the cost of the cookies and the money of diane ?,- number0 number1,65 27,38.0
there are number0 questions on the math test . number1 questions are word problems . number2 questions are addition and subtraction problems . steve can only answer number3 questions .,what 's the difference between the number of all questions on the math test and the number of questions that steve can answer ?,- number0 number3,45 17 28 38,7.0
at the arcade billy had won number0 tickets . after buying a yoyo he had number1 tickets left .,what 's the difference between the number of billy 's tickets he won and he had the left after buying yoyo ?,- number0 number1,48 32,16.0
for halloween frank got number0 pounds of candy . if he gave number1 pounds to nancy,what 's the difference between the pounds of frank 's candy before he gave nancy and he gave to ?,- number0 number1,15 8,7.0
billy was playing basketball with his friend . billy scored number0 points and his friend scored number1 points .,what 's the difference between billy 's points and his friend 's points ?,- number1 number0,7 9,2.0
when maria got to the fair she had $ number0 . when she left she had $ number1 .,what 's the difference between the number of dollars when maria got and left the fair ?,- number0 number1,87 16,71.0
haley collected number0 cans for recycling . if she put number1 cans in number2 bag,what 's the difference between the number of recycling cans that haley collected and put in the bag ?,- number0 number1,9 7 1,2.0
a chef had number0 apples . after making some pies he had number1 left .,what 's the difference between the number of apples before the chef made pies and the after the chef making pies ?,- number0 number1,46 14,32.0
ted and fred measured their height . fred 's height is number0 inches . ted is number1 inches tall .,what 's the difference between ted 's height and fred 's height ?,- number0 number1,98 39,59.0
oliver was weighing boxes for moving . the first was number0 pounds the second was number1 pounds and the last was number2 pounds .,what 's the difference between the weight of the first box and the third box ?,- number2 number0,2 3 13,11.0
kale mowed his lawn number0 times total during the spring . if he mowed it number1 times in the summer .,what 's the difference between the number of times on mowing in the spring and summer ?,- number0 number1,8 5,3.0
a farmer had number0 tomatoes from his garden . if he picked number1 of them,what 's the difference between the number of tomatoes before picking and he picked ?,- number0 number1,17 9,8.0
dave was picking up sticks from his yard . he picked up number0 but there were still number1 left .,what 's the difference between the number of sticks that dave picked up and the left ?,- number0 number1,14 4,10.0
while playing a video game victor lost number0 lives . now he has number1 lives .,what 's the difference between the number of the lives that victor lost and now ?,- number0 number1,14 2,12.0
a pet store had number0 gerbils . if they sold number1 of them,what 's the difference between the number of gerbils that they had before selling and they sold ?,- number0 number1,68 14,54.0
tripp and charlotte are going on a number0 mile hike . tripp 's backpack weighs number1 pounds . charlotte 's backpack weighs number2 pounds . they hiked number3 miles the first day .,what 's the difference between the pounds of backpack of tripp and charlotte ?,- number1 number2,36 25 18 9,7.0
oliver had number0 cherries . after eating some he had number1 left .,what 's the difference between the number of cherries that oliver had before eating and the left after eating ?,- number0 number1,16 6,10.0
a furniture store had number0 chairs . after selling some there was number1 left .,what 's the difference between the number of chairs before selling and the left ?,- number0 number1,15 3,12.0
a store has number0 shirts . after selling some there were number1 left .,what 's the difference between of the number of shirts before selling and after selling ?,- number0 number1,49 28,21.0
zoe picked number0 apples from her tree . now the tree has number1 apples still on it .,what 's the difference between the number of apples zoe picked and now the tree has ?,- number1 number0,5 6,1.0
a clown had number0 balloons . he gave number1 away at a party .,what 's the difference between the number of balloons the clown had in the beginning and he gave away at a party ?,- number0 number1,16 4,12.0
the library has number0 science books . the second graders borrowed number1 of them .,what 's the difference between the number of science books the library has in the beginning and the second graders borrowed ?,- number0 number1,75 18,57.0
amy had some candy . she gave her friend number0 pieces and had number1 left .,what 's the difference between of the pieces of candy amy gave away and the left ?,- number0 number1,6 5,1.0
at a bus stop number0 people got off the bus . now there were number1 people on the bus .,what 's the difference between the number of people getting off the bus and still on the bus ?,- number1 number0,5 90,85.0
a fast food restaurant had number0 hotdogs . after selling some they had number1 left .,what 's the difference between the number of hotdogs before selling and after selling ?,- number0 number1,91 20,71.0
if number0 pack of gum costs $ number1,how many packs of gum can you buy with $ number2 ?,/ number2 number1,1 2 16,8.0
kim wants to buy a new watch that costs $ number0 .,how much change does she receive if she gives the cashier $ number1 ?,- number1 number0,87.60 100,12.4
after paying $ number0 for a drink bryon has $ number1 .,how much money did he have before buying the drink ?,+ number0 number1,2.30 17.15,19.45
if number0 round costs $ number1,how many rounds of golf can you play with $ number2 ?,/ number2 number1,1 80 400,5.0
last week adam ran number0 miles more than katie . adam ran number1 miles .,how many miles did katie run ?,- number1 number0,25 35,10.0
last week howard had number0 dollars . he washed windows over the weekend and now has number1 dollars .,how much money did he make washing windows ?,- number1 number0,26 52,26.0
there were number0 soccer balls in the bag . coach b. found several additional soccer balls and placed them in the bag . there are now number1 balls in the bag .,how many soccer balls did he pick up ?,- number1 number0,6 24,18.0
there are number0 dogwood trees currently in the park . park workers will plant more dogwood trees today . when the workers are finished there will be number1 dogwood trees in the park .,how many dogwood trees did the workers plant today ?,- number1 number0,38 56,18.0
joan is baking a cake . the recipe calls for number0 cups of flour . she already put in number1 cups .,how many more cups does she need to add ?,- number0 number1,7 3,4.0
alyssa has number0 books in her library . she bought several books at a yard sale over the weekend . she now has number1 books in her library .,how many books did she buy at the yard sale ?,- number1 number0,30 88,58.0
sam received number0 dollars for his birthday . he went to a sporting goods store and bought a baseball glove baseball and bat . he had number1 dollars left over,how much did he spent on the baseball gear ?,- number0 number1,87 23,64.0
if number0 cartridge costs number1 dollars,how many ink cartridges can you buy with number2 dollars ?,/ number2 number1,1 15 180,12.0
after paying number0 dollars for the pie sandy has number1 dollars left .,how much money did she have before buying the pie ?,+ number0 number1,6 57,63.0
there were number0 red roses and number1 white roses in the vase . melanie cut some more roses from her flower garden . there are now number2 red roses in the vase .,how many red roses did she cut ?,- number2 number0,8 2 14,6.0
jason had number0 peaches and number1 pears left at his roadside fruit stand . he went to the orchard and picked more peaches to stock up the stand . there are now number2 peaches at the stand,how many did he pick ?,- number2 number0,27 17 90,63.0
if number0 pack costs number1 dollars,how many packs of dvd 's can you buy with number2 dollars ?,/ number2 number1,1 11 110,10.0
last week fred had number0 dollars and jason had number1 dollars . fred washed cars over the weekend and now has number2 dollars .,how much money did fred make washing cars ?,- number2 number0,46 13 57,11.0
there were number0 bales of hay in the barn and number1 bales in the shed . benny stacked more bales in the barn today . there are now number2 bales of hay in the barn .,how many bales did he store in the barn ?,- number2 number0,47 40 82,35.0
the company has large and small ink cartridges in stock .,how many ink cartridges can you buy with number0 dollars if number1 cartridge costs number2 dollars ?,/ number0 number2,182 1 14,13.0
mary is baking a cake . the recipe calls for number0 cups of flour and number1 cups of sugar . she already put in number2 cups of flour .,how many more cups of flour does she need to add ?,- number0 number2,9 3 2,7.0
the store has cd 's and dvd 's that you need .,how many packs of dvd 's can you buy with number0 dollars if number1 pack costs number2 dollars ?,/ number0 number2,132 1 12,11.0
dan 's high school played number0 baseball games this year and number1 were at night . the team won most of their games . they were defeated during number2 games .,how many games did they win ?,- number0 number2,18 2 3,15.0
to get to school chad must either walk around a circular lake or canoe across it . the diameter of the lake is number0 miles .,how much shorter is his trip if he canoes across the lake rather than walks around it ? ( use the value of pi = number1 ),- number1 number0,2 3.14,1.14
at the carnival number0 friends bought number1 tickets total . if they each bought the same amount,how many tickets did each person buy ?,/ number1 number0,6 234,39.0
sarah is making bead necklaces . she has number0 beads and is making number1 necklaces with each necklace using the same number of beads .,how many beads will each necklace use ?,/ number0 number1,945 7,135.0
george had number0 pieces of candy . if he split the candy into number1 bags with the same amount of candy in each bag,how many pieces would each bag have in it ?,/ number0 number1,648 8,81.0
a pallet of boxes weighed number0 kilograms . if there were number1 boxes on the pallet and each box weighed the same amount,how much did each weigh ?,/ number0 number1,267 3,89.0
edward had number0 baseball cards in number1 binders . if each binder has the same number of cards,how many cards are in each binder ?,/ number0 number1,763 7,109.0
there are number0 people attending a luncheon . if a table can hold number1 people,how many tables do they need ?,/ number0 number1,234 9,26.0
kaleb has to sell number0 chocolate bars to get a prize . if each box contains number1 chocolate bars,how many boxes does he need to sell ?,/ number0 number1,710 5,142.0
debby bought number0 bottles of water when they were on sale . if she drank number1 bottles a day,how many days would they last her ?,/ number0 number1,355 5,71.0
debby had number0 quarters . if it costs number1 quarters for each coke from a coke machine,how many could she buy ?,/ number0 number1,873 3,291.0
there are number0 seats in a movie theater . if the movie theater has number1 sections with the same number of seats in each section,how many seats are in each section ?,/ number0 number1,270 9,30.0
edward 's dad bought number0 centimeters of string . if he cut the string into number1 equal pieces,what would be the length of each piece ?,/ number0 number1,459 9,51.0
frank was reading through his favorite book . the book had number0 pages and it took frank number1 days to finish the book .,how many pages did he read per day ?,/ number0 number1,672 2,336.0
there are number0 students going to a trivia competition . if each school van can hold number1 students,how many vans will they need ?,/ number0 number1,396 9,44.0
an architect was building a hotel downtown . he bought number0 lamps to put in the rooms . if each room gets number1 lamps,how many rooms does the hotel have ?,/ number0 number1,147 7,21.0
luke was played number0 rounds of a trivia game and scored number1 points . if he gained the same number of points each round,how many points did he score per round ?,/ number1 number0,5 300,60.0
amy had number0 video games . if she placed the games into number1 different stacks,how many games would be in each stack ?,/ number0 number1,180 9,20.0
the ring toss game at the carnival made number0 dollars in number1 days . if they made the same amount of money each day,how much did they make per day ?,/ number0 number1,420 3,140.0
an ice machine had number0 ice cubes in it . if you were filling up number1 ice chests and each chest got the same number of cubes,how many ice cubes would each chest get ?,/ number0 number1,294 7,42.0
amy uploaded number0 pics to facebook . if she put the pics into number1 albums with the same number of photos in each album,how many photos were in each album ?,/ number0 number1,180 9,20.0
a mailman has to give out number0 pieces of junk mail . if he goes to number1 blocks,how many pieces of junk mail should he give each block ?,/ number0 number1,192 4,48.0
a video game store was getting rid of old games selling them number0 for $ number1 . if they sold number2 games,how much money would they have made ?,* / number1 number0 number2,3 34.26 2,22.84
at the baseball stadium the price for popcorn is $ number0 for number1 bags . if you wanted to buy number2 bags of popcorn,how much would it cost ?,* / number0 number1 number2,14.70 5 4,11.76
at a candy store you could get number0 giant lollipops for $ number1 .,how much would it cost to buy number2 lollipops ?,* / number1 number0 number2,2 2.40 6,7.2
an ice company charged $ number0 for number1 bags of ice . if a convenience store bought number2 bags of ice,how much would it have cost them ?,* / number0 number1 number2,1.46 2 4,2.92
a store had number0 packs of paper for $ number1 .,how much would it cost if you were to buy number2 packs ?,* / number1 number0 number2,3 3.87 6,7.74
the book fair had a sale where number0 books were $ number1 . if you wanted to buy number2 books,how much money would you need ?,* / number1 number0 number2,3 18.72 6,37.44
a pet store was selling mice number0 for $ number1 . if they ended up selling number2 mice,how much money would they have earned ?,* / number1 number0 number2,2 5.34 7,18.69
at a farming supply store number0 pounds of seed cost $ number1 . if a farmer needed number2 pounds of seeds,how much would it cost him ?,* / number1 number0 number2,2 44.68 6,134.04
a shoe store was having a back to school sale where you could buy number0 pairs of shoes for $ number1 . if a large family decided to buy number2 pairs of shoes,how much would it cost them ?,* / number1 number0 number2,2 23.10 7,80.85
at the store beef jerky was $ number0 for number1 pounds . if you bought number2 pounds,how much would it cost ?,* / number0 number1 number2,34.23 3 7,79.87
at the produce store you can buy number0 bags of bananas for $ number1 .,how much would it cost if you were to buy number2 bags ?,* / number1 number0 number2,2 12.46 6,37.38
a mailman has to give number0 pieces of junk mail to each block . if there are number1 houses on a block,how many pieces of junk mail should he give each house ?,/ number0 number1,28 4,7.0
billy bought number0 boxes of books at a yard sale . if each box had number1 books,how many books did he buy ?,* number0 number1,5 7,35.0
at the fair the 'twirly tea cups ' ride can hold number0 people per teacup . if the ride has number1 tea cups,how many total people can ride at a time ?,* number0 number1,9 7,63.0
emily was selling some of her old toys at a garage sale . she started out with number0 toys and sold number1 of them .,how many does she have left ?,- number0 number1,7 3,4.0
a pet store had number0 siamese cats . if they sold number1 of them,how many cats did they still have ?,- number0 number1,7 4,3.0
cody had number0 old video games he wanted to get rid of . if he gave his friend number1 of the games,how many does he still have ?,- number0 number1,9 4,5.0
