input	Equation
jill invited number0 people to her birthday party . they each ate number1 pieces of pizza .how many pieces of pizza did they eat ?	* number0 number1
billy had number0 cherries . he ate number1 of them .how many cherries does billy have left ?	- number0 number1
olivia was buying dvds of her favorite tv series . each season had number0 dvds . if she bought number1 seasonshow many dvds did she buy total ?	* number0 number1
she also tried to get to know the teachers in the school . she found out that there are number0 departments in the school and each department has number1 teachers .how many teachers are there in total ?	* number0 number1
amy had number0 music files and number1 video files on her flash drive . if she deleted number2 of the fileshow many files were still on her flash drive ?	- + number0 number1 number2
a chef had number0 apples . after making some pies he had number1 left .how many apples did he use ?	- number0 number1
number0 ducks are swimming in a lake . number1 more ducks come to join them .how many ducks are swimming in the lake ?	+ number0 number1
number0 children were riding on the bus . at the bus stop some more children got on the bus . then there were number1 children altogether on the bus .how many children got on the bus at the bus stop ?	- number1 number0
their next destination is lake erie . still in a contest hazel caught number0 different fishes while her father caught number1 howmany fishes did they catch in lake erie ?	+ number0 number1
andrew annie 's other friend was assigned with the preparation of appetizers . he decided to bring number0 hotdogs on sticks number1 pieces of bite-sized cheese pops and number2 pieces of chicken nuggets .how many portions of appetizers did andrew bring in all ?	+ + number0 number1 number2
annie 's mother has also been asked to be a part of the surprise . she was tasked to be in charge of drinks . she made number0 glasses of orange juice number1 glasses of grape juice and number2 glasses of apple juice .how many glasses of juice would there be ?	+ + number0 number1 number2
paul had number0 strawberries in his basket . he picked number1 more strawberries .how many strawberries did he have then ?	+ number0 number1
a pet store had number0 gerbils . if they sold number1 of themhow many would they have left ?	- number0 number1
a mailman has to give number0 pieces of junk mail to each block . if there are number1 houses on a blockhow many pieces of junk mail should he give each house ?	/ number0 number1
her last stop was the post office . there she sent her rock collection to the geological museum in london . she was left with her number0 favorite stones after sending away a part of her collection . if she originally has number1 stones in her collectionhow many did she send away ?	- number1 number0
sofia president of the school student organization held a meeting to talk about the food being served at the school cafeteria . the first order of business is to discuss whether the students like the food being served at the school . if number0 students said that they like the food and number1 students said they did n'thow many students participated in the discussion ?	+ number0 number1
after eating a hearty meal they went to see the buckingham palace . there rachel learned that number0 visitors came to the palace that day . if there were number1 visitors the previous dayhow many visited the palace within number2 days ?	+ number0 number1
mary is baking a cake . the recipe calls for number0 cups of flour and number1 cups of sugar . she already put in number2 cups of flour .how many more cups of flour does she need to add ?	- number0 number2
paco had number0 cookies . he ate number1 of them .how many cookies did paco have left ?	- number0 number1
it 's earth awareness day and the town of flora is celebrating by planting trees in areas where the forest has been damaged . mayor fauna leader of the town of flora donated number0 oak tree seedlings and number1 seedlings of holly .how many seedlings did he donate altogether ?	+ number0 number1
molly had number0 candles on her birthday cake . she grew older and got number1 more on her birthday cake .how old is molly now ?	+ number0 number1
number0 of his favorites is a book called encyclopedia of life and everything else . the book has number1 large chapters each having number2 pages .how many pages does the encyclopedia have in total ?	* number1 number2
amy bought number0 pencils at the school store but she already had number1 pencils .how many pencils does she have totaled ?	+ number0 number1
denise has number0 crayons and number1 blocks . if she shares the crayons among number2 friendshow many crayons does each friend get ?	/ number0 number2
there are number0 students trying out for the school 's trivia teams . if number1 of them did n't get picked for the team and the rest were put into number2 groupshow many students would be in each group ?	/ - number0 number1 number2
there are number0 marbles in phyllis 's marble collection . if the marbles are organized into number1 groupshow big is each group ?	/ number0 number1
a vet was weighing number0 cats . the first weighed number1 pounds . the second weighed number2 pounds and the last weighed number3 pounds .what is their combined weight ?	+ + number1 number2 number3
to carry heavy construction materials they employed number0 red ants and number1 black ants .how many ants did they employ in total ?	+ number0 number1
our watermelons have number0 seeds each . if we have number1 watermelonshow many seeds should there be when all seeds are taken out of the watermelons ?	* number0 number1
a pet store had number0 dogs . on sunday they got number1 more . on monday they got number2 more .how many dogs does the pet store have now ?	+ + number0 number1 number2
the wildcats scored number0 points in the first half of the game . the panthers scored number1 points .how many more points did the wildcats score ?	- number0 number1
uncle dave bought number0 ice cream sandwiches . if he wants to give them to his number1 hungry nieceshow many can each niece get ?	/ number0 number1
sam has number0 power ranger stickers . he bundles them up in number1 boxes . if there are number2 power ranger stickers in the first boxhow many more power ranger stickers are there in the second box than the first box ?	- number0 * number2 number1
a chef was making pies . he made number0 apple number1 pecan and number2 pumpkin pies .how many pies did he make total ?	+ + number0 number1 number2
cody was helping his mom wash clothes . they washed number0 short sleeve shirts and number1 long sleeve shirts .how many shirts did they wash total ?	+ number0 number1
on tuesday mrs. hilt saw number0 raisins on a tray in the cafeteria . that was number1 more raisins than she saw the day before .how many raisins were on the table on monday ?	- number0 number1
there are number0 squirrels in a tree with number1 nuts .what 's the difference of the number of squirrels and nuts over there ?	- number0 number1
willy has number0 crayons . lucy has number1 crayons .how many more crayons does willy have then lucy ?	- number0 number1
sam put number0 pretzels in a bowl for the party . his friends ate number1 of them . sam put in number2 more pretzels .how many pretzels were in the bowl then ?	+ - number0 number1 number2
while heating the wings charlie decided to make metal supports for the wings . if he needs number0 lbs of metal and he has number1 lbs in storagehow much additional metal does he need to buy ?	- number0 number1
the company has large and small ink cartridges in stock .how many ink cartridges can you buy with number0 dollars if number1 cartridge costs number2 dollars ?	/ number0 number2
henry already had number0 dollars but earned another number1 dollars doing chores . his friend had number2 dollars . if they put their money togetherhow much would they have ?	+ + number0 number1 number2
edward had number0 baseball cards in number1 binders . if each binder has the same number of cardshow many cards are in each binder ?	/ number0 number1
the ice rink has number0 pairs of skates to rent . number1 people rented skates when the ice rink opened . number2 more people rented skates during the first hour .how many pairs of skates are left ?	- - number0 number1 number2
even the chipmunks are trying to get away to find other warmer places to stay . if number0 chipmunk families were left from the original number1 familieshow many chipmunk families went away ?	- number1 number0
because of an upcoming exam robyn will not be able to sell cookies on tuesday . to make up for it lucy decided to do double the work to catch up . she sold number0 cookies on her first round and number1 on her second round .how many cookies were sold by lucy ?	+ number0 number1
on the first saturday of spring jane woke up early to enjoy the whole day and help with chores at home . jane had been saving large empty cans to serve as pots for sunflowers . if she has number0 sunflower seeds and there are number1 canshow many seeds will be placed in each can if she places an equal number of seeds in each can ?	/ number0 number1
a clown had number0 balloons . after a party he had number1 left .how many balloons did he use at the party ?	- number0 number1
mom made number0 chocolate chip cookies . it took number1 minutes to mix the ingredients and number2 minutes to bake . julie and matt ate number3 cookies after dinner .how many cookies were left ?	- number0 number3
if number0 round costs $ number1how many rounds of golf can you play with $ number2 ?	/ number2 number1
there were number0 kids on the soccer field . number1 kids decided to join in .now how many kids are on the soccer field ?	+ number0 number1
cheryl counted number0 lemons . lori bought number1 more lemons .how many lemons do the girls have altogether ?	+ number0 number1
sarah is making bead necklaces . she has number0 beads and is making number1 necklaces with each necklace using the same number of beads .how many beads will each necklace use ?	/ number0 number1
ethan has number0 presents . alissa has number1 more than ethan .how many presents does alissa have ?	+ number0 number1
the library has number0 science books . the second graders borrowed number1 of them .how many science books are left ?	- number0 number1
isabel had some candy . she gave her friend number0 pieces and had number1 left .how many pieces did she have to start with ?	+ number0 number1
joe number0 of the best easter egg hunters found number1 eggs around the club house number2 eggs around the park and number3 eggs in the town hall garden .how many eggs did joe find ?	+ + number1 number2 number3
there were number0 onions on the shelf . number1 were sold .how many onions is there on the shelf now ?	- number0 number1
a clown had number0 balloons . he gave number1 away at a party .what 's the difference between the number of balloons the clown had in the beginning and he gave away at a party ?	- number0 number1
recently the postal service sold stamps with famous people pictured on them . they sold number0 color stamps as well as number1 black-and-white number2 .about how many stamps did they sell ?	+ number0 number1
an ice machine had number0 ice cubes in it . if you were filling up number1 ice chests and each chest got the same number of cubeshow many ice cubes would each chest get ?	/ number0 number1
ned mowed his lawn number0 times in the spring and number1 times in the summer .how many times did he mow total ?	+ number0 number1
frank was reading through his favorite book . the book had number0 pages and it took frank number1 days to finish the book .how many pages did he read per day ?	/ number0 number1
for the championship game they faced the powerful red team . wanting redemption chuck and his teammates did their best and gave everything that they 've got . in the end they won the game with the final score of number0 if the red team scored number1 pointshow large was the difference of their scores ?	- number0 number1
janice has number0 bottle caps that must be put away in boxes . douglas comes to help and brings number1 cookies to share with janice . if there are number2 boxeshow many bottle caps must go in each box ?	/ number0 number2
a restaurant sold number0 sodas in the morning and number1 in the afternoon .how many sodas did they sell total ?	+ number0 number1
haley 's mom was buying extra school supplies for haley and her sister . if she bought number0 reams of paper for haley and number1 reams for her sisterhow many did she buy total ?	+ number0 number1
nancy was buying soap for her bathroom . she bought number0 packs with each pack having number1 bars .how many bars of soap did she buy ?	* number0 number1
mrs. hilt saw number0 butterflies . some of the butterflies were red and others were orange . if number1 of the butterflies were orangehow many of them were red ?	- number0 number1
adam had number0 boxes of toys . each box had number1 toys . later adam bought number2 more toys .how many toys did he have total ?	+ * number0 number1 number2
mrs. santiago has number0 red roses . mrs. garrett has number1 what's the difference of the number of mrs. santiago 's red roses and mrs. garrett 's red roses ?	- number0 number1
for dessert jane 's mom prepared number0 pieces of bite-size cinnamon swirls . if the number1 of them ate an equal number of pieces of cinnamon swirlshow many pieces did jane eat ?	/ number0 number1
alicia loves collecting art . she has a whole house filled with all the art she obtained since she was a little kid . when she decided to move away she started donating some of her art to different museums . first museum she went to was the metropolitan museum in new york . she donated number0 medieval art pieces from the number1 she originally has .how many medieval art pieces were left with her ?	- number1 number0
the kids from oakwood elementary school are visiting a bird zoo for their field trip . to get to the bird zoo from the school the kids have to ride some buses . if there are number0 buses and each bus has number1 adult supervisors to guide the childrenhow many supervisors are there in total ?	* number0 number1
alvin had number0 marbles and played number1 games . he lost number2 marbles during the first game . he won number3 marbles during the second game .how many marbles did alvin have then ?	+ - number0 number2 number3
there are a total of number0 items at a bakery . number1 of them are bread rolls and number2 of them are croissants .how many bagels are there ?	- - number0 number1 number2
sam received number0 dollars for his birthday . he went to a sporting goods store and bought a baseball glove baseball and bat . he had number1 dollars left overhow much did he spent on the baseball gear ?	- number0 number1
mark dean 's friend decided to go for a boat ride . if the ride costs $ number0 for every mile and they travelled for number1 mileshow much would the ride cost mark ?	* number0 number1
feeling good about what he did mr. anderson decided to continue giving to others . he went around the city and gave clothes to homeless people . if he gave number0 shirts and number1 trousershow many pieces of clothing did he gave out in total ?	+ number0 number1
mr. lee harvested number0 apples and he packed them evenly in some baskets . if there are number1 apples in each baskethow many baskets of apples are there ?	/ number0 number1
wendy bought number0 inches of ribbon . she used number1 inches to wrap presents .how much ribbon did wendy have left ?	- number0 number1
susie 's father repaired the bookshelves in the reading room . if he has number0 books to be distributed equally on the number1 shelves he repairedhow many books will each shelf contain ?	/ number0 number1
christine has number0 stickers on her good helper chart . she needs number1 stickers to get a prize .how many more stickers does christine need ?	- number1 number0
december is a busy month for the toy store . they had number0 games on the shelf . number1 games were sold the first week . the store got number2 more games from the factory .how many games did they have then ?	+ - number0 number1 number2
adam has number0 marbles in his collection . mary has number1 fewer marbles than adam . greg has number2 more marbles than adam .how many marbles does greg have ?	+ number0 number2
aside from frogs the swamp area is also home to a few dangerous animals . penny 's teacher pointed out number0 crocodiles number1 alligators and number2 vipers .how many dangerous animals did the teacher point out in total ?	+ + number0 number1 number2
a mailman has to give out number0 pieces of junk mail . if he goes to number1 blockshow many pieces of junk mail should he give each block ?	/ number0 number1
a sandbox is number0 centimeters long and number1 centimeters wide .how many square centimeters of ground does the sandbox cover ?	* number0 number1
gwen 's class is going on a field trip to the zoo . if each van can hold number0 people and there are number1 students and number2 adults goinghow many vans will they need ?	/ + number2 number1 number0
a farmer had number0 tomatoes from his garden . after picking some he had number1 left .how many did he pick ?	- number0 number1
if you add number0 to a mystery number you will get number1 whatis the mystery number ?	- number1 number0
amy had number0 pencils . if she used number1 of themhow many would she have left ?	- number0 number1
if he spent a total of $ number0 and all the gifts cost a total of $ number1how much money did he spend on giftwrapping and other expenses ?	- number0 number1
number0 birds were sitting in a tree . some more fly up to the tree . then there were number1 birds in the tree .how many more flew up to the tree ?	- number1 number0
a fast food restaurant sold number0 small hotdogs and number1 large hotdogs .how many hotdogs did they sell total ?	+ number0 number1
diane wants to buy a package of cookies . the cookies cost number0 cents . diane has number1 cents .how much more money does she need ?	- number0 number1
number0 students are forming teams for a mountaineering competition . each team should have number1 students .how many teams can they form ?	/ number0 number1
at band practice there were number0 rows of students with number1 students in each row and then another number2 students in the back .how many students were there total ?	+ * number0 number1 number2
there are number0 dogwood trees currently in the park . park workers will plant more dogwood trees today . when the workers are finished there will be number1 dogwood trees in the park .how many dogwood trees did the workers plant today ?	- number1 number0
joe had number0 toy cars . if he gets number1 more carshow many cars will he have then ?	+ number0 number1
at the carnival number0 friends bought number1 tickets total . if they each bought the same amounthow many tickets did each person buy ?	/ number1 number0
the music room has number0 violins . there are also number1 flutes . number2 students are in the school band .how many instruments are in the music room ?	+ number0 number1
tiffany was buying sodas for her and her friends . they needed number0 sodas but tiffany bought number1 extra .how many did she buy ?	+ number0 number1
a ballet class wants to divide its number0 members into some large groups at number1 members each and some small groups at number2 members each . in order to make the least number of groupshow many large groups should be made ?	/ number0 number1
julia played tag with number0 kids on monday . she played tag with number1 kids on tuesday .how many kids did she play with altogether ?	+ number0 number1
lex read a number0 page book about music and instruments . if he can read exactly number1 pages a dayhow many days will it take lex to finish reading the book ?	/ number0 number1
the third graders are having a fair . they have number0 tickets to sell . they sold number1 tickets the first week and number2 tickets the second week .how many tickets do they have left to sell ?	- - number0 number2 number1
there are number0 birds on the fence . number1 more birds land on the fence .how many birds are on the fence ?	+ number0 number1
cindy and dan have the same number of stickers . cindy used number0 of her stickers . dan bought number1 more stickers .how many more stickers did dan have than cindy then ?	+ number0 number1
billy can play number0 songs in his music book . he knows the names of number1 different guitar chords . billy 's music book has number2 songs in it .how many songs does billy still need to learn ?	- number2 number0
finally she planned on going to the halloween party in the village club house . she wanted to make sure that she will have the perfect costume so she rented number0 different costumes from the halloween store . if each costume rent costs $ number1how much did she spend on all the costumes ?	* number0 number1
next on his list is the famous empire state building . there he learned that the building stands number0 feet to the top floor and the antenna spire is number1 feet .how tall is the empire state building ?	+ number0 number1
if the group was able to make number0 recycled materials from what they gathered and the teachers were able to make number1how many recycled products will they be able to sell at the fair ?	+ number0 number1
john threw a halloween party where number0 people showed up . if only number1 dressed uphow many people did n't wear costumes ?	- number0 number1
zoe was unboxing some of her old winter clothes . she found number0 boxes of clothing and inside each box there were number1 scarves and number2 mittens .how many pieces of winter clothing did zoe have total ?	* + number1 number2 number0
mrs. hilt needs to share $ number0 equally among number1 total people .how much money will each person get ?	/ number0 number1
the friends then proceeded to the rest of the houses in their village . however sam had to go home earlier . she got her share of candies which are composed of number0 chewing gums number1 chocolate bars and number2 assorted fruit candies .how many candies did she get in total ?	+ + number0 number1 number2
number0 medals are displayed in the sports center . there are number1 gold medals and number2 silver medals .how many bronze medals are displayed ?	- - number0 number1 number2
after a week sofia did a survey to ask if the students liked the new menu . she found out that number0 students liked the new menu while number1 did n't .how many students took part in sofia 's survey ?	+ number0 number1
the sweet shop gets a new candy shipment every number0 days . there are number1 cases of chocolate bars . there are number2 cases of lollipops .how many cases of candy altogether ?	+ number1 number2
my ice cream shop was really busy today . it was number0 degrees and we sold number1 ice cream cones . we sold number2 more milkshakes than ice cream cones .how many milkshakes were sold ?	+ number1 number2
lena had some pocket money . she lost $ number0 and her mom gave her $ number1 . if she had $ number2 after thathow many dollars did lena have at first ?	+ - number2 number1 number0
there were number0 geese in the farmer 's field . number1 of the geese flew away .how many geese were left in the field ?	- number0 number1
billy was making ice using ice trays . each tray held number0 ice cubes . if he had number1 trayshow many cubes could he make ?	* number0 number1
jesse 's room is number0 feet long and number1 feet wide .how much carpet does she need to cover the whole floor ?	* number0 number1
a pet store was selling mice number0 for $ number1 . if they ended up selling number2 micehow much money would they have earned ?	* / number1 number0 number2
emily collected eggs from the hen and put them into number0 baskets . she put number1 eggs into each basket .how many eggs did emily collect ?	* number0 number1
annie takes trick or treating seriously . so days before halloween she makes sure that the details of her trick or treating are well planned . first she wanted to find out the number of houses in her village . if the village has number0 houses per block and has a total of number1 blockshow many houses are there in her village ?	* number0 number1
a chef had number0 cherries . if he used number1 of them to make a piehow many cherries would he still have ?	- number0 number1
number0 bright sunny day betty decided to make bracelets from beautiful stones she bought from a local store . she bought number1 pink flower stones and wanted to make number2 bracelets out of these stones .how many pink flower stones will each bracelet have if she used the same number of stones in each bracelet ?	/ number1 number2
the school 's baseball team had number0 new players and number1 returning players . if the coach put them into groups with number2 players in each grouphow many groups would there be ?	/ + number0 number1 number2
olivia was collecting cans for recycling . she had number0 bags with number1 cans inside each bag .how many cans did she have ?	* number0 number1
there were number0 trees in a park . number1 of them died and another number2 of them were cut .how many trees were still left ?	- - number0 number1 number2
she also decided to contribute to the collection of the museum of natural history . after donating some of her bug collection she was left with number0 bug species . if she originally has number1 bug specieshow many did she donate ?	- number1 number0
for bianca 's birthday number0 of her friends gave her number1 dollars .how much money did she get for her birthday ?	* number0 number1
bryan took a look at his books as well . if he has number0 books in each of his number1 bookshelveshow many books does he have in total ?	* number0 number1
a bus can transport number0 passengers . if a school of number1 students and teachers are going on a field triphow many buses should be rented ?	/ number1 number0
amy had some candy . she gave her friend number0 pieces and had number1 left .what 's the difference between of the pieces of candy amy gave away and the left ?	- number0 number1
to make sure that the cake is sweet he needs number0 lbs . of sugar . if he has number1 lbs . of sugar stored in his househow much additional sugar will he need ?	- number0 number1
lana 's mom was buying extra school supplies for her and her siblings . if she bought number0 packs of glue sticks with number1 glue sticks in each packhow many did she get total ?	* number0 number1
upon finishing the treehouse charlie 's mother served them freshly baked cookies . if charlie ate number0 cookies his father ate number1 and his mother only ate number2how many cookies were eaten in total ?	+ + number0 number1 number2
mike owned number0 baseball cards . for his birthday he got number1 more .how many cards does mike have total ?	+ number0 number1
mike got number0 gb of space on his disk drive to backup his files . if his files would take up number1 gbhow many gb would he have left ?	- number0 number1
a pet store had number0 gerbils . if they sold number1 of themwhat 's the difference between the number of gerbils that they had before selling and they sold ?	- number0 number1
faye had number0 apps on her phone . to free up some space she deleted number1 of the apps .how many apps did she have left ?	- number0 number1
a baker sold number0 cakes . now he has number1 cakes .how many cakes did the baker have to start with ?	+ number0 number1
the wolves though accustomed to cold weather also wanted to move away from the incoming winter . if there are number0 packs of wolves living in the forest and number1 packs went awayhow many wolf packs were left in the forest ?	- number0 number1
with the win streak that they have chuck 's team was able to get into the playoffs . they reached the semi-finals where they played against the black team . if they finished the game with number0 points and won it by number1 pointswhat is the black team 's final score ?	- number0 number1
susie and her sister gathered all number0 of their teddy bears and placed them on the shelves in their bedroom . if every shelf can carry a maximum of number1 teddy bearshow many shelves will be filled ?	/ number0 number1
there are number0 basketballs at a school . if the school buys another number1 basketballshow many basketballs will the school have ?	+ number0 number1
at lunch a waiter had number0 customers and number1 of them did n't leave a tip . if he got $ number2 each from the number3 who did tiphow much money did he earn ?	* - number0 number1 number2
the mini library also has a section for the classics . if jack has a collection of number0 classic authors with each author having number1 bookshow many books does he have in the classics section ?	* number0 number1
the coach bought number0 extra large pizzas for the team . there were number1 slices of pizza totally . after the team ate some of the slices there were number2 slices left .how many slices of pizza did the team eat ?	- number1 number2
molly swam number0 meters on saturday . she swam number1 meters on sunday . the pool is number2 meters long .how many meters did molly swim in all ?	+ number0 number1
the tallest giraffe at the zoo is number0 inches tall . there are number1 adult giraffes at the zoo . the shortest giraffe is number2 inches .how much taller is the bigger giraffe ?	- number0 number2
wendy is a very generous kid . every time her parents buy her some stuff she always gives some of it to her friends . for her birthday this year she received a new set of shoes . she now has a total of number0 pairs of shoes . if she gave away number1 pairs of shoes to her friendshow many pairs of shoes were left to her ?	- number0 number1
a teacher had number0 worksheets to grade . if she graded number1 but then another number2 were turned inhow many worksheets would she have to grade ?	+ - number0 number1 number2
marco and his dad went strawberry picking . together their strawberries weighed number0 pounds . marco 's strawberries weighed number1 pounds .how much did his dad 's strawberries weigh ?	- number0 number1
for halloween frank got number0 pounds of candy . if he gave number1 pounds to nancywhat 's the difference between the pounds of frank 's candy before he gave nancy and he gave to ?	- number0 number1
johnny practiced for the track team and ran number0 laps per minute .how many minutes did it take johnny to run number1 laps ?	/ number1 number0
adam has $ number0 to buy an airplane that costs $ number1 .how much change will he get ?	- number0 number1
mrs. hilt saw number0 snakes number1 alligators number2 frogs and number3 bears .how many reptiles did mrs. hilt see ?	+ number0 number1
there are number0 blocks in bridget 's block collection . if the blocks are organized into number1 groupshow big is each group ?	/ number0 number1
debby bought number0 bottles of water when they were on sale . if she drank number1 bottles a dayhow many days would they last her ?	/ number0 number1
there are number0 baskets . there are number1 apples in each basket .how many apples are there in all ?	* number0 number1
number0 people are going to the zoo . there are number1 cars to take people to the zoo .how many will go in each car if the same number go in each car ?	/ number0 number1
there are number0 bottle caps in terry 's bottle cap collection . if the bottle caps are organized into number1 groupshow big is each group ?	/ number0 number1
dean knew that they are going to stay at the beach for a while so he brought number0 sets of clothes for every week of their stay . if dean is staying for number1 weeks therehow many sets of clothes did he bring ?	* number0 number1
mr. guzman bought number0 doughnuts packed equally into number1 boxes .how many doughnuts were in each box ?	/ number0 number1
roger had number0 dollars . if he spent number1 bucks on a new gamehow many number2 dollar toys could he buy with the money he had left ?	/ - number0 number1 number2
at the zoo a cage had number0 snakes . if number1 were hidinghow many snakes were not hiding ?	- number0 number1
a store has number0 shirts . if they sold number1 of themhow many shirts would they have ?	- number0 number1
keith has number0 marbles and number1 pencils . if he shares the marbles among number2 friendshow many marbles does each friend get ?	/ number0 number2
chris is inviting number0 friends to a party . he has number1 cookies and number2 peices of candy .how many cookies will each friend get ?	/ number1 number0
faye and her mom were picking carrots from their garden . faye picked number0 and her mother picked number1 if only number2 of the carrots were goodhow many bad carrots did they have ?	- + number0 number1 number2
number0 people visited the statue of liberty in the morning . number1 more people visited in the afternoon than in the morning .how many people visited the statue of liberty in the afternoon ?	+ number0 number1
since the result of the vote was close it was decided that they will balance the menu with both meat and vegetables . this decision was agreed upon by number0 third grade students and number1 number2 grade students .how many students agreed with the decision ?	+ number0 number1
paige was helping her mom plant flowers and together they planted number0 seeds . if they put number1 seeds in each flower bedhow many flower beds did they have ?	/ number0 number1
the grasshopper and the frog had a jumping contest . the grasshopper jumped number0 inches . the frog jumped number1 inches farther than the grasshopper .how far did the frog jump ?	+ number0 number1
at the back of the zoo is a mountain where the birds can roam free in a natural habitat . the children saw number0 types of eagles living on each section of the mountain . if the mountain has number1 sectionshow many types of eagles did the children see in total ?	* number0 number1
there are number0 bananas in philip 's banana collection . if the bananas are organized into number1 groupshow big is each group ?	/ number0 number1
kale mowed his lawn number0 times total during the spring . if he mowed it number1 times in the summer .what 's the difference between the number of times on mowing in the spring and summer ?	- number0 number1
adam put number0 items in the shopping cart . after deleting some he had number1 left .how many items did adam delete ?	- number0 number1
there are number0 students in the class and number1 skittles . if the skittles are divided equally among the studentshow many does each student get ?	/ number1 number0
at the fair amy started with number0 tickets and then bought number1 more .how many tickets did amy have total ?	+ number0 number1
brenda betty 's sister wanted to have number0 bracelets with star-shaped stones . she also bought number1 star-shaped stones from the local store and gave it to betty .how many star-shaped stones will there be in each of the bracelet betty makes for brenda ?	/ number1 number0
debby makes number0 pancakes . she adds blueberries to number1 of them and bananas to number2 of them . the rest are plain .how many plain pancakes are there ?	- - number0 number1 number2
the last stop of their tour was italy ; there they visited naples the place where modern pizza was invented . during their stay there she ate number0 grams of pizza and her sister ate number1 howmany grams of pizza did rachel and bella ate there ?	+ number0 number1
a report said that each day the average youtube viewer watches number0 videos with each video lasting number1 minutes . additionally they also watch number2 minutes of ads . according to the reporthow many minutes total do people spend on youtube ?	+ * number0 number1 number2
it is number0 miles to grandma 's house . mr. welch drove number1 miles . he stopped to buy a pie for dessert . then he drove number2 miles and stopped to put gas in the car .how many more miles until he reaches grandma 's house ?	- - number0 number1 number2
if each bus have number0 rows of seats and each row of seats can accommodate number1 childrenhow many children can each bus accommodate ?	* number0 number1
debby had number0 pounds of flour . if she bought another number1 poundshow many pounds would she have total ?	+ number0 number1
brenda 's mother made cookies for number0 . if she prepared number1 cookies and each of them had the same number of cookieshow many did each of them have ?	/ number1 number0
mark has number0 trees in his backyard . if he plants number1 morehow many trees will he have ?	+ number0 number1
there 's only a week left before christmas . john went out to buy gifts for his family . having $ number0 for his budget he went to a sports store and bought his brother a new pair of shoes for $ number1 .how much money does he have left ?	- number0 number1
jenny was told to clean up her room in number0 days or she could not go to her best friend 's birthday party . it is number1 days left but jenny has cleaned up her room .how many days did she spend ?	- number0 number1
a store had number0 oranges in a bin . if they threw away number1 of the old number2 and put number3 new number4 in the binhow many would be in the bin ?	+ - number0 number1 number3
if lewis earns $ number0 every week during the number1 weeks of harvest .how much money does he earn during harvest season ?	* number0 number1
the very first thing that rachel tried when they reached england was the food . if she ate number0 grams of bacon and number1 grams of sausageshow much food did she eat in total ?	+ number0 number1
if number0 pack of gum costs $ number1how many packs of gum can you buy with $ number2 ?	/ number2 number1
there were number0 bales of hay in the barn and number1 bales in the shed . benny stacked more bales in the barn today . there are now number2 bales of hay in the barn .how many bales did he store in the barn ?	- number2 number0
peter had number0 marbles in his pocket . he lost some when he went outside to play . now he only has number1 marbles .how many marbles did peter lose ?	- number0 number1
pinky the pig bought number0 apples while danny the duck bought number1 howmany apples do they have altogether ?	+ number0 number1
evan has a large collection of books . he gave his best friend number0 books . he gave his little brother number1 books . now evan has number2 books in his collection .how many books did he have at first ?	+ + number2 number0 number1
connie saved up $ number0 . she wants to buy a watch that costs $ number1 .how much more money does connie need ?	- number1 number0
carol had number0 pieces of tissue paper . after blowing her nose she had number1 left .how many pieces of tissue paper did she use ?	- number0 number1
still a little behind robyn asked her mother to drive them around town on wednesday to cover more houses . that day robyn sold number0 packs of cookies while lucy sold number1 howmany packs were they able to sell that day ?	+ number0 number1
for the final act the circus brought out dancing animals wearing crowns . if each crown is made with number0 different colored feathershow many feathers are needed for number1 crowns ?	* number0 number1
haley loves to collect things . this year she decided to give away part of her collection as it was taking too much space in her room . number0 of her closest friends like stickers . if she plans to give all of them an equal number of stickershow many will each receive if she has number1 stickers ?	/ number1 number0
bryan has number0 skittles . ben has number1 m & m 's .how many more does brian have ?	- number0 number1
at the zoo zoe took number0 pictures . if her sister took another number1 pictureshow many did they take total ?	+ number0 number1
chris tasked to lead the newspaper collection was able to obtain number0 newspapers from their neighborhood . if his sister lily helped him and was able to get number1 more newspapers from another blockhow many newspapers were they able to collect together ?	+ number0 number1
a baker already had number0 cakes but made number1 extra .how many cakes did the baker have total ?	+ number0 number1
olivia owned number0 pennies . after she bought an apple she had number1 pennies left .how many did she spend for the apple ?	- number0 number1
sandy had number0 pet fish . she bought number1 more fish .how many pet fish does sandy have now ?	+ number0 number1
a chef had number0 apples . after making a pie he had number1 left .how many apples did he use in the pie ?	- number0 number1
there are number0 pretzels in a bowl . john ate number1 pretzels . alan ate number2 fewer pretzels than john . marcus ate number3 more pretzels than john .how many pretzels did marcus eat ?	+ number1 number3
each table in a break room can seat number0 people . if the break room has number1 tableshow many people can sit in there ?	* number0 number1
a farmer planted number0 seeds on wednesday and another number1 seeds on thursday .how many seeds did he plant total ?	+ number0 number1
i put another number into my machine . the machine added number0 and then subtracted number1 the number number2 came out of the machine .what number did i put in ?	- + number2 number1 number0
bianca spent number0 minutes drawing at school and number1 minutes drawing at home .how many minutes total did she spend drawing ?	+ number0 number1
if each piece costs number0 centshow much would number1 pieces of bubble gum cost ?	* number1 number0
for halloween will got number0 pounds of candy . after giving some to haley he had number1 pounds left .how many pounds did he give to haley ?	- number0 number1
for halloween frank got number0 pounds of candy and gwen got number1 pounds of candy .what is the combined weight they received ?	+ number0 number1
next she went to a country full of mountains . there she saw number0 species of insects reptiles and birds . if she saw number1 insect species and number2 bird specieshow many reptile species did she see ?	- number0 + number1 number2
garrett went shopping for snack supplies and bought number0 oatmeal raisin granola bars and number1 peanut granola bars .how many granola bars did he buy in all ?	+ number0 number1
